run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,iTrial,Phase,ExperimentPhase,key_press,StimulusDurationSetting,CharacterResponse,correctResponse,Face,Name,rearranged,didSubjectEnterRearranged,slider_start,response,Block,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
10,1,13076,"{""Q0"":""A3HJAT1ZJPPTBB""}",survey-text,0,13088,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",3/11/2021 19:18,99.35.42.200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
10,1,22550,"""",image-button-response,1,35707,0.0-1.0,directionsMemoryAssociation1.JPG,0,1,IntroDirections1,break,"""","""","""","""","""","""","""","""","""","""","""",3/11/2021 19:18,99.35.42.200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
10,1,54386,"""",image-button-response,2,90106,0.0-2.0,directionsMemoryAssociation2.JPG,0,1,IntroDirections2,break,"""","""","""","""","""","""","""","""","""","""","""",3/11/2021 19:18,99.35.42.200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
10,1,null,"""",html-keyboard-response,3,95121,0.0-3.0,"<img src='jspsych/CFDfaces/CFD-LF-206-078-N.jpg' height=""250px"">,</br><b>Tara</b>","""",1,IntactFace,Practice,null,5000,"""","""","""","""","""","""","""","""","""",3/11/2021 19:18,99.35.42.200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
10,1,null,"""",html-keyboard-response,4,95633,0.0-4.0,"<div style=""font-size:60px;"">+</div>","""",1,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",3/11/2021 19:18,99.35.42.200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
10,1,2242,"""",html-keyboard-response,5,100650,0.0-5.0,"<img src='jspsych/CFDfaces/CFD-LF-205-100-N.jpg' height=""250px"">,</br><b>Katelyn</b>","""",2,IntactFace,Practice,78,5000,n,"""","""","""","""","""","""","""","""",3/11/2021 19:18,99.35.42.200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
10,1,null,"""",html-keyboard-response,6,101166,0.0-6.0,"<div style=""font-size:60px;"">+</div>","""",2,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",3/11/2021 19:18,99.35.42.200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
10,1,1497,"""",html-keyboard-response,7,106177,0.0-7.0,"<img src='jspsych/CFDfaces/CFD-WM-015-002-N.jpg' height=""250px"">,</br><b>Samuel</b>","""",3,IntactFace,Practice,70,5000,f,"""","""","""","""","""","""","""","""",3/11/2021 19:18,99.35.42.200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
10,1,null,"""",html-keyboard-response,8,106692,0.0-8.0,"<div style=""font-size:60px;"">+</div>","""",3,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",3/11/2021 19:18,99.35.42.200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
10,1,1859,"""",html-keyboard-response,9,111704,0.0-9.0,"<img src='jspsych/CFDfaces/CFD-LF-204-133-N.jpg' height=""250px"">,</br><b>Cassandra</b>","""",4,IntactFace,Practice,70,5000,f,"""","""","""","""","""","""","""","""",3/11/2021 19:18,99.35.42.200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
