run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,iTrial,Phase,ExperimentPhase,key_press,StimulusDurationSetting,CharacterResponse,correctResponse,Face,Name,rearranged,slider_start,response,didSubjectEnterRearranged,Block,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
6,1,7790,"{""Q0"":""ACJNWSBIVI46H""}",survey-text,0,7798,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,24615,"""",image-button-response,1,32565,0.0-1.0,directionsMemoryAssociation1.JPG,0,1,IntroDirections1,break,"""","""","""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,30138,"""",image-button-response,2,62732,0.0-2.0,directionsMemoryAssociation2.JPG,0,1,IntroDirections2,break,"""","""","""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,4935,"""",html-keyboard-response,3,67752,0.0-3.0,"<img src='jspsych/CFDfaces/CFD-BF-010-001-N.jpg' height=""250px"">,</br><b>Tara</b>","""",1,IntactFace,Practice,78,5000,n,"""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,null,"""",html-keyboard-response,4,68260,0.0-4.0,"<div style=""font-size:60px;"">+</div>","""",1,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,4970,"""",html-keyboard-response,5,73272,0.0-5.0,"<img src='jspsych/CFDfaces/CFD-WF-006-002-N.jpg' height=""250px"">,</br><b>Shannon</b>","""",2,IntactFace,Practice,70,5000,f,"""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,null,"""",html-keyboard-response,6,73774,0.0-6.0,"<div style=""font-size:60px;"">+</div>","""",2,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,2531,"""",html-keyboard-response,7,78783,0.0-7.0,"<img src='jspsych/CFDfaces/CFD-LM-201-057-N.jpg' height=""250px"">,</br><b>Patrick</b>","""",3,IntactFace,Practice,70,5000,f,"""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,null,"""",html-keyboard-response,8,79287,0.0-8.0,"<div style=""font-size:60px;"">+</div>","""",3,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,2568,"""",html-keyboard-response,9,84296,0.0-9.0,"<img src='jspsych/CFDfaces/CFD-WM-034-030-N.jpg' height=""250px"">,</br><b>Marcus</b>","""",4,IntactFace,Practice,78,5000,n,"""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,null,"""",html-keyboard-response,10,84799,0.0-10.0,"<div style=""font-size:60px;"">+</div>","""",4,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,3705,"""",html-keyboard-response,11,89807,0.0-11.0,"<img src='jspsych/CFDfaces/CFD-BF-221-223-N.jpg' height=""250px"">,</br><b>Cassandra</b>","""",5,IntactFace,Practice,78,5000,n,"""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,null,"""",html-keyboard-response,12,90311,0.0-12.0,"<div style=""font-size:60px;"">+</div>","""",5,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,2757,"""",html-keyboard-response,13,95319,0.0-13.0,"<img src='jspsych/CFDfaces/CFD-LM-209-111-N.jpg' height=""250px"">,</br><b>Samuel</b>","""",6,IntactFace,Practice,78,5000,n,"""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,null,"""",html-keyboard-response,14,95821,0.0-14.0,"<div style=""font-size:60px;"">+</div>","""",6,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,3316,"""",html-keyboard-response,15,100831,0.0-15.0,"<img src='jspsych/CFDfaces/CFD-AM-211-052-N.jpg' height=""250px"">,</br><b>Carlos</b>","""",7,IntactFace,Practice,78,5000,n,"""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,null,"""",html-keyboard-response,16,101334,0.0-16.0,"<div style=""font-size:60px;"">+</div>","""",7,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,1618,"""",html-keyboard-response,17,106342,0.0-17.0,"<img src='jspsych/CFDfaces/CFD-LF-206-078-N.jpg' height=""250px"">,</br><b>Katelyn</b>","""",8,IntactFace,Practice,70,5000,f,"""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,null,"""",html-keyboard-response,18,106845,0.0-18.0,"<div style=""font-size:60px;"">+</div>","""",8,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,19790,"""",image-button-response,19,126667,0.0-19.0,directionsForTest.JPG,0,1,directionsForTest,break,"""","""","""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,11270,"""",image-button-response,20,137964,0.0-20.0,directionsForTest2.JPG,0,1,directionsForTest2,break,"""","""","""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,null,"""",html-keyboard-response,21,138988,0.0-21.0,"<div style=""font-size:60px;"">+</div>","""",1,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,null,"""",image-keyboard-response,22,139246,0.0-22.0,jspsych/scrambledNeutralFaces/scrambledAF29NES.JPG,"""",1,forwardMask,Practice,null,250,"""",n,"""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
6,1,null,"""",image-keyboard-response,23,139271,0.0-23.0,jspsych/neutralFaces/AF29NES.JPG,"""",1,Cue,Practice,null,16,"""","""","""","""","""","""","""","""","""",3/11/2021 19:11,71.86.185.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
