run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,question_order,stimulus,button_pressed,iTrial,Phase,ExperimentPhase,key_press,StimulusDurationSetting,CharacterResponse,correctResponse,Face,Name,rearranged,didSubjectEnterRearranged,slider_start,response,Block,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
1,1,4348,"{""Q0"":""Sameer""}",survey-text,0,4355,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,2261,"{""Q0"":""26""}",survey-text,1,6631,0.0-1.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,5897,"{""Q0"":""male"",""Q1"":""Hispanic/Latino"",""Q2"":""Asian""}",survey-multi-choice,2,12533,0.0-2.0,"[0,1,2]","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,2551,"""",image-button-response,3,15176,0.0-3.0,"""",directionsMemoryAssociation1.JPG,0,1,IntroDirections1,break,"""","""","""","""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,603,"""",image-button-response,4,15792,0.0-4.0,"""",directionsMemoryAssociation2.JPG,0,1,IntroDirections2,break,"""","""","""","""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,null,"""",html-keyboard-response,5,16795,0.0-5.0,"""","<img src='jspsych/CFDfaces/CFD-BF-201-080-N.jpg' height=""250px"">,</br><b>Katelyn</b>","""",1,IntactFace,Practice,null,1000,"""","""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,null,"""",html-keyboard-response,6,17306,0.0-6.0,"""","<div style=""font-size:60px;"">+</div>","""",1,ITI,Practice,null,5,"""","""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,510,"""",html-keyboard-response,7,18322,0.0-7.0,"""","<img src='jspsych/CFDfaces/CFD-BF-009-002-N.jpg' height=""250px"">,</br><b>Cassandra</b>","""",2,IntactFace,Practice,70,1000,f,"""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,null,"""",html-keyboard-response,8,18832,0.0-8.0,"""","<div style=""font-size:60px;"">+</div>","""",2,ITI,Practice,null,5,"""","""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,452,"""",html-keyboard-response,9,19836,0.0-9.0,"""","<img src='jspsych/CFDfaces/CFD-LF-243-175-N.jpg' height=""250px"">,</br><b>Shannon</b>","""",3,IntactFace,Practice,70,1000,f,"""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,null,"""",html-keyboard-response,10,20342,0.0-10.0,"""","<div style=""font-size:60px;"">+</div>","""",3,ITI,Practice,null,5,"""","""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,305,"""",html-keyboard-response,11,21348,0.0-11.0,"""","<img src='jspsych/CFDfaces/CFD-AM-202-079-N.jpg' height=""250px"">,</br><b>Carlos</b>","""",4,IntactFace,Practice,70,1000,f,"""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,null,"""",html-keyboard-response,12,21851,0.0-12.0,"""","<div style=""font-size:60px;"">+</div>","""",4,ITI,Practice,null,5,"""","""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,null,"""",html-keyboard-response,13,22867,0.0-13.0,"""","<img src='jspsych/CFDfaces/CFD-WM-041-021-N.jpg' height=""250px"">,</br><b>Patrick</b>","""",5,IntactFace,Practice,null,1000,"""","""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,null,"""",html-keyboard-response,14,23383,0.0-14.0,"""","<div style=""font-size:60px;"">+</div>","""",5,ITI,Practice,null,5,"""","""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,null,"""",html-keyboard-response,15,24402,0.0-15.0,"""","<img src='jspsych/CFDfaces/CFD-AM-214-168-N.jpg' height=""250px"">,</br><b>Samuel</b>","""",6,IntactFace,Practice,null,1000,"""","""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
1,1,null,"""",html-keyboard-response,16,24912,0.0-16.0,"""","<div style=""font-size:60px;"">+</div>","""",6,ITI,Practice,null,5,"""","""","""","""","""","""","""","""","""",5/3/2021 3:03,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,,Firefox,87,Windows,10
