run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,iTrial,Phase,ExperimentPhase,key_press,StimulusDurationSetting,correctResponse,slider_start,response,rearranged,Face,Name,didSubjectEnterRearranged,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
110,1,2955.65,"{""Q0"":""123""}",survey-text,0,2970,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,2210.3,"""",image-button-response,1,5213,0.0-1.0,directionsMemoryAssociation1.JPG,0,1,IntroDirections1,break,"""","""","""","""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,423.24,"""",image-button-response,2,5641,0.0-2.0,directionsMemoryAssociation2.JPG,0,1,IntroDirections2,break,"""","""","""","""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,1555.455,"""",image-button-response,3,7222,0.0-3.0,directionsForTest.JPG,0,1,directionsForTest,break,"""","""","""","""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,610.13,"""",image-button-response,4,7836,0.0-4.0,directionsForTest2.JPG,0,1,directionsForTest2,break,"""","""","""","""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,570.17,"""",image-button-response,5,8410,0.0-5.0,directionsMemoryAssociation3.JPG,0,1,DirectionsBeforeActualTEst,Break,"""","""","""","""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,1065.415,"""",html-keyboard-response,6,9477,0.0-6.0,Press Key to Begin Memory Test,"""",1,welcomeScreen,Break,74,"""","""","""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,null,"""",html-keyboard-response,7,10479,0.0-7.0,"<div style=""font-size:60px;"">+</div>","""",1,ITI,Test,null,1000,"""","""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,null,"""",image-keyboard-response,8,10733,0.0-8.0,jspsych/scrambledDisgustFaces/scrambledBM28DIS.JPG,"""",1,forwardMask,Test,null,250,d,"""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,null,"""",image-keyboard-response,9,10752,0.0-9.0,jspsych/disgustFaces/BM29DIS.JPG,"""",1,Cue,Test,null,16,"""","""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,null,"""",image-keyboard-response,10,10857,0.0-10.0,jspsych/neutralFaces/AM33NES.JPG,"""",1,backwardMask,Test,null,100,"""","""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,null,"""",html-keyboard-response,11,11860,0.0-11.0,"<div style=""font-size:60px;"">+</div>","""",1,fixationBtwnNeutralMaskAndPrompt,Test,null,1000,"""","""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,null,"""",html-slider-response,12,11965,0.0-12.0,"<img src='jspsych/CFDfaces/CFD-BF-005-001-N.jpg' height=""250px"">,</br><b>Alicia</b>","""",1,ConfidenceQuery,Test,"""","""","""",50,null,1,CFD-BF-005-001-N.jpg,Alicia,0,1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,null,"""",html-keyboard-response,13,13739,0.0-13.0,"<div style=""font-size:60px;"">+</div>","""",2,ITI,Test,null,1000,"""","""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,null,"""",image-keyboard-response,14,14739,0.0-14.0,jspsych/scrambledNeutralFaces/scrambledBF17NES.JPG,"""",2,forwardMask,Test,null,250,n,"""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
110,1,null,"""",image-keyboard-response,15,15738,0.0-15.0,jspsych/neutralFaces/BF17NES.JPG,"""",2,Cue,Test,null,16,"""","""","""","""","""","""","""",1/27/2021 2:20,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
