run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,key_press,StimulusDurationSetting,iTrial,Phase,correctResponse,CharacterResponse,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
26,1,46906.46,"{""Q0"":""demoRun1""}",survey-text,0,47064,0.0-0.0,"""","""","""","""","""","""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",html-keyboard-response,1,48142,0.0-1.0,"<div style=""font-size:60px;"">+</div>",null,1000,1,ITI,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,2,48426,0.0-2.0,jspsych/scrambledDisgustFaces/scrambledAM05DIS.JPG,null,250,1,forwardMask,d,"""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,3,48566,0.0-3.0,jspsych/disgustFaces/AM05DIS.JPG,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}",1,Cue,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,4,48683,0.0-4.0,jspsych/neutralFaces/AM30NES.JPG,null,100,1,backwardMask,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",html-keyboard-response,5,48887,0.0-5.0,"<div style=""font-size:60px;"">+</div>",null,200,1,fixationBtwnNeutralMaskAndPrompt,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,1000.865,"""",html-keyboard-response,6,50217,0.0-6.0,"<p> What was the emotion of the hidden face? <br> Press, <b>d</b> for <i>disgust face</i> or <b>n</b> for <i>neutral face</i></p>",68,"""",1,Query,"""",d,11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",html-keyboard-response,7,51262,0.0-7.0,"<div style=""font-size:60px;"">+</div>",null,1000,2,ITI,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,8,51538,0.0-8.0,jspsych/scrambledDisgustFaces/scrambledBM20DIS.JPG,null,250,2,forwardMask,d,"""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,9,51712,0.0-9.0,jspsych/disgustFaces/BM20DIS.JPG,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}",2,Cue,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,10,51828,0.0-10.0,jspsych/neutralFaces/AF31NES.JPG,null,100,2,backwardMask,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",html-keyboard-response,11,52030,0.0-11.0,"<div style=""font-size:60px;"">+</div>",null,200,2,fixationBtwnNeutralMaskAndPrompt,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,490.26,"""",html-keyboard-response,12,52526,0.0-12.0,"<p> What was the emotion of the hidden face? <br> Press, <b>d</b> for <i>disgust face</i> or <b>n</b> for <i>neutral face</i></p>",68,"""",2,Query,"""",d,11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",html-keyboard-response,13,53532,0.0-13.0,"<div style=""font-size:60px;"">+</div>",null,1000,3,ITI,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,14,53801,0.0-14.0,jspsych/scrambledDisgustFaces/scrambledBM32DIS.JPG,null,250,3,forwardMask,d,"""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,15,53877,0.0-15.0,jspsych/disgustFaces/BM32DIS.JPG,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}",3,Cue,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,16,53984,0.0-16.0,jspsych/neutralFaces/AF28NES.JPG,null,100,3,backwardMask,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",html-keyboard-response,17,54190,0.0-17.0,"<div style=""font-size:60px;"">+</div>",null,200,3,fixationBtwnNeutralMaskAndPrompt,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,1474.515,"""",html-keyboard-response,18,55666,0.0-18.0,"<p> What was the emotion of the hidden face? <br> Press, <b>d</b> for <i>disgust face</i> or <b>n</b> for <i>neutral face</i></p>",78,"""",3,Query,"""",n,11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",html-keyboard-response,19,56671,0.0-19.0,"<div style=""font-size:60px;"">+</div>",null,1000,4,ITI,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,20,57407,0.0-20.0,jspsych/scrambledNeutralFaces/scrambledBM06NES.JPG,null,250,4,forwardMask,n,"""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,21,57578,0.0-21.0,jspsych/neutralFaces/BM06NES.JPG,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}",4,Cue,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,22,57830,0.0-22.0,jspsych/neutralFaces/BF08NES.JPG,null,100,4,backwardMask,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",html-keyboard-response,23,58032,0.0-23.0,"<div style=""font-size:60px;"">+</div>",null,200,4,fixationBtwnNeutralMaskAndPrompt,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,1374.65,"""",html-keyboard-response,24,59409,0.0-24.0,"<p> What was the emotion of the hidden face? <br> Press, <b>d</b> for <i>disgust face</i> or <b>n</b> for <i>neutral face</i></p>",78,"""",4,Query,"""",n,11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",html-keyboard-response,25,60412,0.0-25.0,"<div style=""font-size:60px;"">+</div>",null,1000,5,ITI,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,26,60928,0.0-26.0,jspsych/scrambledDisgustFaces/scrambledAF14DIS.JPG,null,250,5,forwardMask,d,"""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,27,61603,0.0-27.0,jspsych/disgustFaces/AF14DIS.JPG,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}",5,Cue,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,28,61708,0.0-28.0,jspsych/neutralFaces/AF21NES.JPG,null,100,5,backwardMask,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",html-keyboard-response,29,61910,0.0-29.0,"<div style=""font-size:60px;"">+</div>",null,200,5,fixationBtwnNeutralMaskAndPrompt,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,943.4,"""",html-keyboard-response,30,62855,0.0-30.0,"<p> What was the emotion of the hidden face? <br> Press, <b>d</b> for <i>disgust face</i> or <b>n</b> for <i>neutral face</i></p>",68,"""",5,Query,"""",d,11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",html-keyboard-response,31,63858,0.0-31.0,"<div style=""font-size:60px;"">+</div>",null,1000,6,ITI,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,32,64112,0.0-32.0,jspsych/scrambledDisgustFaces/scrambledAM29DIS.JPG,null,250,6,forwardMask,d,"""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,33,64259,0.0-33.0,jspsych/disgustFaces/AM29DIS.JPG,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}",6,Cue,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",image-keyboard-response,34,64376,0.0-34.0,jspsych/neutralFaces/BF22NES.JPG,null,100,6,backwardMask,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
26,1,null,"""",html-keyboard-response,35,64581,0.0-35.0,"<div style=""font-size:60px;"">+</div>",null,200,6,fixationBtwnNeutralMaskAndPrompt,"""","""",11/9/2020 5:16,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",WebKit,Chrome,86.0.4240.183,Windows,10
